property_price,property_location
"£9,000 pcm","Atalanta Street, London SW6"
£850 pcm,"Reginald Road, Northwood HA6"
"£7,150 pcm","Merchant Square East, London W2"
"£1,650 pcm","Cannon Lane, Pinner HA5"
"£2,100 pcm","Latham Close, Beckton E6"
£810 pcm,"Anson Road, London NW2"
"£1,668 pcm","Thurston Road, London SE13"
"£4,996 pcm","Portobello Court, Westbourne Grove, London W11"
"£5,633 pcm","Sydney Mews, South Kensington, London SW3"
"£2,700 pcm","Linksway, Hendon NW4"
"£2,900 pcm","Acre Lane, Brixton SW2"
"£2,100 pcm","Nelson Road, South Wimbledon SW19"
"£3,358 pcm","Crown Lodge, 12 Elystan Street, London SW3"
"£4,983 pcm","Casson Square, Southbank, London SE1."
"£1,200 pcm","Chipstead Valley Road, Coulsdon CR5"
"£1,450 pcm","Upper Wickham Lane, Welling DA16"
"£3,000 pcm","Cabul Road, London SW11"
"£2,900 pcm","The Terrace, 136 Richmond Hill, Richmond TW10"
"£1,450 pcm","Carltone Mansions, Finchley Road, London NW3"
£975 pcm,"Broxholm Road, London SE27"
£900 pcm,"Parchmore Road, Thornton Heath, Surrey CR7"
"£6,950 pcm","Broomwood Road, London SW11"
"£1,850 pcm","Axio Way, Bow, London E3"
"£4,290 pcm","Thornhill Crescent, Barnsbury, London N1"
"£4,500 pcm","Chipstead Gardens, Gladstone Park, London NW2"
"£1,400 pcm","Grove Park Road, London SE9"
"£3,000 pcm","Chipstead Gardens, Gladstone Park, London NW2"
"£3,500 pcm","Muswell Hill, Muswell Hill, London N10"
"£4,996 pcm","Ennismore Gardens, London SW7"
"£2,180 pcm","Canary Wharf, London E14"
"£3,467 pcm","Campden Grove, London W8"
"£3,000 pcm","47 Mirabelle Gardens, London E20"
"£3,200 pcm","Crouch Hill, London N4"
£700 pcm,"Vincent Road, Isleworth TW7"
"£2,925 pcm","Chronicle Tower, 261B City Road, London EC1V"
"£3,200 pcm","Putney Bridge Road, London SW15"
"£1,998 pcm","Ferguson Close, Nr Canary Wharf, London E14"
"£1,750 pcm","Hacon Square, Richmond Road, London E8"
"£3,750 pcm","The Terrace, 136 Richmond Hill, Richmond TW10"
"£5,178 pcm","Maida Avenue, Little Venice W2"
"£2,200 pcm","Enfield Road, London N1"
"£2,700 pcm","Enfield Road, London N1"
£900 pcm,"Gunnersbury Gardens, London W3"
"£2,100 pcm","Skyline Plaza, Commercial Road E1"
"£1,700 pcm","Lavender Hill, London SW11"
"£1,300 pcm","Wood Lane, Isleworth TW7"
"£2,750 pcm","Clay, Alto, Wembley HA9"
"£1,750 pcm","Icon Apartments, Duckett Street E1"
"£2,795 pcm","Bethune Road, London N16"
"£4,550 pcm","Melcombe Court, Dorset Square, Baker Street NW1"
"£5,500 pcm","Kiddapore Avenue, London NW3"
"£12,177 pcm","Rainville Road, London W6"
"£1,550 pcm","Stanley Road, North Chingford E4"
"£3,400 pcm","Marsh Wall, London E14"
"£36,833 pcm","Palace Gardens Terrace, London W8"
"£2,400 pcm","New Road, Ilford IG3"
"£2,970 pcm","Amelia Street, Elephant And Castle, London SE17"
"£2,000 pcm","Chicksand Street, Spitalfields, London E1"
"£4,008 pcm","Dorset Square, Marylebone, London NW1"
"£4,900 pcm","Redington Road, London NW3"
"£1,750 pcm","Platinum House, Lyon Road, Harrow HA1"
"£2,200 pcm","Sunnyhill Road, Streatham Hill SW16"
"£1,550 pcm","Cleveland Grove, London E1"
"£1,100 pcm","Vine Close, West Drayton, Greater London UB7"
"£3,000 pcm","47 Mirabelle Gardens, London E20"
"£3,200 pcm","Crouch Hill, London N4"
£700 pcm,"Vincent Road, Isleworth TW7"
"£2,925 pcm","Chronicle Tower, 261B City Road, London EC1V"
"£3,200 pcm","Putney Bridge Road, London SW15"
"£1,998 pcm","Ferguson Close, Nr Canary Wharf, London E14"
"£1,750 pcm","Hacon Square, Richmond Road, London E8"
"£3,750 pcm","The Terrace, 136 Richmond Hill, Richmond TW10"
"£5,178 pcm","Maida Avenue, Little Venice W2"
"£2,200 pcm","Enfield Road, London N1"
"£2,700 pcm","Enfield Road, London N1"
£900 pcm,"Gunnersbury Gardens, London W3"
"£2,100 pcm","Skyline Plaza, Commercial Road E1"
"£1,700 pcm","Lavender Hill, London SW11"
"£1,300 pcm","Wood Lane, Isleworth TW7"
"£2,750 pcm","Clay, Alto, Wembley HA9"
"£1,750 pcm","Icon Apartments, Duckett Street E1"
"£2,795 pcm","Bethune Road, London N16"
"£4,550 pcm","Melcombe Court, Dorset Square, Baker Street NW1"
"£5,500 pcm","Kiddapore Avenue, London NW3"
"£3,423 pcm","Kensington Gardens Square, Bayswater W2"
"£2,770 pcm","Holborn, London EC4A"
"£2,840 pcm","West Heath Drive, Golders Green, London NW11"
"£12,177 pcm","Rainville Road, London W6"
"£1,550 pcm","Stanley Road, North Chingford E4"
"£3,400 pcm","Marsh Wall, London E14"
"£36,833 pcm","Palace Gardens Terrace, London W8"
"£2,400 pcm","New Road, Ilford IG3"
"£2,150 pcm","Earl's Court Square, London SW5"
"£2,300 pcm","Bethnal Green Road, Bethnal Green, London E2"
"£6,933 pcm","Eaton Place, London SW1X"
"£1,100 pcm","Wood Lane, Isleworth TW7"
"£2,817 pcm","Elgin Crescent, London W11"
"£1,775 pcm","Westgate House, London W5"
£650 pcm,"Lamberhurst Road, Dagenham RM8"
"£1,400 pcm","King Street, London W6"
"£2,950 pcm","The Hyde, London NW9"
"£7,500 pcm","Fitzjohns Avenue, Hampstead NW3"
"£1,650 pcm","Oakleigh Road North, London N20"
"£3,700 pcm","Long Lane, London SE1"
"£1,950 pcm","Gilpin House, Fore Street, London N9"
"£9,967 pcm","Lexham Gardens, London W8"
"£1,800 pcm","Scarborough Road, London N4"
"£1,300 pcm","Twickenham Road, Isleworth TW7"
£900 pcm,"Gayton Road, Harrow-On-The-Hill, Harrow HA1"
"£1,800 pcm","115 Rosefinch Apartments, London NW9"
"£3,500 pcm","Maresfield Gardens, Hampstead NW3"
"£2,650 pcm","Mapleton Crescent, Wandsworth SW18"
"£3,358 pcm","Sheldon Square, London W2"
"£2,535 pcm","Baldwin Point, Elephant Park, Elephant &amp; Castle SE17"
"£3,590 pcm","Fitzrovia, London W1T"
"£2,250 pcm","Thames Road, London W4"
"£2,700 pcm","Rita Rd, London SW8"
"£2,700 pcm","Stopford Road, London E13"
"£1,200 pcm","Elmers End Road, London SE20"
"£5,000 pcm","Clifton Court, Northwick Terrace NW8"
"£9,850 pcm","L-000066, 28 Circus Road West, Battersea SW11"
"£1,100 pcm","Frobisher Road, Erith, Kent DA8"
"£1,538 pcm","Quernmore Road, Harringey N4"
"£1,538 pcm","Quernmore Road, Harringey N4"
"£7,150 pcm","Emperors Gate, South Kensington SW7"
"£1,250 pcm","Oaklands Grove, London W12"
"£2,890 pcm","George Street, Croydon CR0"
"£1,900 pcm","Scarborough Road, London N4"
"£4,814 pcm","Grosvenor Hill, London W1K"
"£1,450 pcm","Little Heath, Chadwell Heath, Romford RM6"
"£4,983 pcm","Casson Square, London SE1"
"£1,950 pcm","Philbeach Gardens, London SW5"
"£1,300 pcm","Girton Close, Northolt UB5"
"£2,750 pcm","Quaker Street, Shoredtich E1"
"£1,650 pcm","Ilford Lane, Ilford IG1"
"£1,550 pcm","Girton Close, Northolt UB5"
"£8,233 pcm","Kingston House South, Ennismore Gardens SW7"
"£2,400 pcm","Bow Common Lane, London E3"
"£1,800 pcm","Girton Close, Northolt UB5"
"£2,150 pcm","Yeading Lane, Northolt UB5"
"£2,000 pcm","20 Lantern Way, Canary Wharf E14"
"£2,250 pcm","Wellington Way, London E3"
"£4,008 pcm","Finchley Road, London NW3"
"£3,900 pcm","Langham Place, London W4"
"£2,400 pcm","Sydney Road, Abbey Wood SE2"
"£2,800 pcm","Mile End Road, Whitechapel E1"
"£3,467 pcm","Harcourt Tower, 67 Marsh Wall, London E14"
"£4,442 pcm","Fulham Road, London SW3"
"£3,900 pcm","Water Street, London E14"
"£3,500 pcm","Maresfield Gardens, Hampstead NW3"
"£2,000 pcm","Jasper Road, London E16"
"£1,125 pcm","Alexandra Road, Mitcham CR4"
"£1,699 pcm","Alexandra Road, Mitcham CR4"
"£10,833 pcm","Elite House, St. Annes Street, London E14"
"£2,600 pcm","Pied Bull Court, Galen Place WC1A"
"£4,108 pcm","Water Street, London E14"
"£1,000 pcm","Worton Way, Isleworth TW7"
"£1,000 pcm","Pownall Road, London E8"
£950 pcm,"Pownall Road, London E8"
"£3,900 pcm","Aspen, 50 Marsh Wall E22"
"£1,050 pcm","Pownall Road, London E8"
£850 pcm,"Pownall Road, London E8"
"£1,700 pcm","Llanover Road, Wembley HA9"
"£3,500 pcm","Haydons Road, London SW19"
"£1,800 pcm","Market Square, London E14"
"£2,600 pcm","Chiswick High Road, London W4"
"£1,775 pcm","Wandsworth Bridge Road, Fulham SW6"
"£3,033 pcm","Merchant Square East, London W2"
"£3,532 pcm","Henshaw Street, London SE17"
"£4,182 pcm","Strathmore Court, Regents Park NW8"
"£3,400 pcm","Oval Village, Kennington Lane SE11"
"£3,000 pcm","Silverbirch Walk, Maitland Park Road, London NW3"
"£2,817 pcm","Stephendale Road, London SW6"
"£1,650 pcm","Monarchs Court, 10 Grenville Place, London NW7"
"£2,000 pcm","Cambridge Heath Road, Bethnal Green E2"
"£2,200 pcm","Victoria Park Square, London E2"
"£1,650 pcm","Scarborough Road, London N4"
"£2,102 pcm","Sycamore Close, Feltham TW13"
"£3,250 pcm","Trader Road, East Beckton E6"
"£3,000 pcm","Hetherington Road, London SW4"
"£2,380 pcm","George Street, Croydon CR0"
£900 pcm,"George Lane, London E18"
"£1,750 pcm","Prospect Court, Foots Cray High Street, Sidcup DA14"
