property_price,property_location,beds,baths,receptions,area_sq_ft
"£14,300 pcm","Brompton Square, London SW3",5 beds,4 baths,3 receptions,NA
"£2,600 pcm","Alma Square, St John's Wood, London NW8",1 bed,1 bath,1 reception,NA
£953 pcm,"Woodheyes Road, London NW10",1 bed,1 bath,NA,NA
"£8,797 pcm","Strathmore Court, St John's Wood, London NW8",6 beds,2 baths,1 reception,NA
"£3,400 pcm","Tierney Lane, London W6",2 beds,1 bath,700 sq. ft,NA
"£10,508 pcm","Strathmore Court, Park Road, London NW8",4 beds,3 baths,1 reception,NA
"£3,200 pcm","Havant Road, London E17",4 beds,2 baths,2 receptions,NA
"£1,250 pcm","Lewis Way, Dagenham RM10",1 bed,1 bath,1 reception,431 sq. ft
"£2,400 pcm","Oakleigh Way, Mitcham CR4",3 beds,1 bath,NA,NA
"£1,800 pcm","Swan Road, West Drayton UB7",2 beds,2 baths,1 reception,715 sq. ft
"£2,912 pcm","Circus Apartments, London E14",1 bed,1 bath,1 reception,681 sq. ft
£900 pcm,"Prince Regent Road, Hounslow TW3",1 bed,1 bath,NA,NA
"£1,400 pcm","13 High Street, London SE20",1 bed,1 bath,1 reception,NA
"£8,688 pcm","Park Road, London NW8",5 beds,4 baths,2400 sq. ft,NA
"£1,500 pcm","Stanhope Avenue, Harrow HA3",2 beds,1 bath,1 reception,NA
"£1,798 pcm","Finland Street, London SE16",1 bed,1 bath,1 reception,NA
"£1,900 pcm","Fairfield Road, London E3",1 bed,1 bath,1 reception,419 sq. ft
"£2,500 pcm","River Gardens Walk, London SE10",2 beds,2 baths,1 reception,NA
"£7,280 pcm","Hill Street, London W1J",3 beds,2 baths,1 reception,1122 sq. ft
"£3,000 pcm","02 Plimsoll Building, London N1C",1 bed,1 bath,1 reception,570 sq. ft
"£2,300 pcm","Crofts Road, Harrow HA1",3 beds,1 bath,1 reception,947 sq. ft
"£2,625 pcm","Cotton Row, London SW11",2 beds,2 baths,NA,NA
£599 pcm,"Princes Avenue, London N13",1 bed,2 baths,NA,NA
"£2,500 pcm","Barley Lane, Ilford IG3",4 beds,2 baths,NA,NA
£775 pcm,"Henley Road, Ilford IG1",1 bed,1 bath,NA,NA
"£1,500 pcm","Shepherds Bush, London W12",1 bath,NA,NA,NA
"£2,390 pcm","Corporation Street, London N7",2 beds,1 bath,NA,NA
"£2,100 pcm","Strode Road, London NW10",2 beds,1 bath,NA,NA
"£1,675 pcm","King Charles Road, Berrylands, Surbiton KT5",2 beds,1 bath,1 reception,NA
"£10,000 pcm","St Marys Terrace, Maida Vale, London W2",4 beds,3 baths,2 receptions,2526 sq. ft
"£8,493 pcm","Strathmore Court, Park Road, St John's Wood, London NW8",5 beds,2 baths,1 reception,NA
"£2,400 pcm","Halford Road, London SW6",2 beds,2 baths,NA,NA
"£7,735 pcm","Charles Clowes Walk, London SW11",3 beds,2 baths,1 reception,1123 sq. ft
"£2,300 pcm","St. Joan's Road, Edmonton, London N9",3 beds,1 bath,2 receptions,NA
